review_text,star_rating
"Astro A50 Lightspeed RiotzzFTW | Verified Purchase Verified Purchase | Posted 16 hours ago . This reviewer received promo considerations or sweepstakes entry for writing a review. This Astro headset is one of the best headsets ive purchased since the OG Astro a40s came out forever ago and i can say the sound quality is premium! I play a lot of competive online games and i hear things that my buddies can not. There a tons of settings you can tweak to your liking and after going through multiple headsets due to not wanting to spend the money this headset... i can say this headset is worth every cent and i should have just bought this one off the rip. This headset is the all in one for your setup. With the press of a button you can switch from xbox to playstation to pc and even the switch in normal bluetooth mode.. dont get me started on just listening to music with these guys.. just peak listening experience. Being able to charge them without the dock makes for great travel headset as well for movies. I used to be very against wireless headsets due to latency and batteries dying and this and that but i can say this headset can take some heavy gaming sessions with no issue. Ive had days off work with the family out of town and im talking full 10-12 hours running games with the boys and not even getting through half battery. One feature i love is the afk mode. Idk if there is some sort of sensor but after so long of just laying down on my desk they will turn off to conserve battery, simply putting back on my head and touching the volume wheel turns it right back on. The dock to charge is my biggest gripe and its a small one. I have a normal head but a truck load of hair and with my headset being on the largest setting sometimes placing on the dock without paying attention i have noticed myself not placing on them on the dock correctly. Being that charge time is very important part of a wireless jeadset this is a small issue. Ive notice set to the largest size the ear muffs have to kind of squish together so the click onto the dock is heard. Any other sizing besides maximum there are no issues with this. Overall ratings -Sound 9/10 (only better sound found in 500$ studio headsets) -Battery 10/10 -Comfort 8/10 -Price for quality 8/10 -Quality/Build (definitely not built as sturdy as the OG astro headsets but still a very well built headset compared to plastic feeling turtle beaches or steele series headsets i e owned and reviewed almost every consumer grade headset the market has to offer) Thanks for your time and i hope this helped you guys in your decision to buy or not! I would recommend this to a friend",5
"Best Money Can Buy SarahC | Verified Purchase Verified Purchase | Posted 1 day ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Easy setup, easy-to-follow instructions. I've owned Astros for over 5 years now and treated myself to an upgrade. I think they can't be beat! I would recommend this to a friend",5
"Definitely recommend for wireless headphones AdamM | Verified Purchase Verified Purchase | Posted 1 day ago . Owned for 2 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Never had a problem with this headset, sounds great as well!! I would recommend this to a friend",5
"Trust me, buy it. Buy once, cry once MatthewR | Verified Purchase Verified Purchase | Posted 2 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Best headset I’ve ever had. It acts as an input relay device, and the audio quality is phenomenal. You want to hear someone coming up behind you with dead silent on from 100 yards away? This is the headset for you. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"I just dont undestand! Anonymous | Verified Purchase Verified Purchase | Posted 3 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. So i bought these the day they came out. To pair with my PS5 and these were not a let down. The audio and mic quality are supperb. Its been almost two years, only in the last days did I upgrade to a PC and let me tell you…. I now hate them. For some reason the audio on the PC is lower than that from the PS5. Have researched and researched but, I cant find the solution and I’m annoyed at this point. At this point i spent 400+ and it doesnt offer the same quality audio? I wish i could still return them. No, I would not recommend this to a friend",3
Good product CristianD | Verified Purchase Verified Purchase | Posted 3 days ago . Owned for 1 year when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Great product I prefer this than the astros due the fact of the app. I would recommend this to a friend,4
"Works as advertised MC123 | Verified Purchase Verified Purchase | Posted 3 days ago . Owned for 3 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Works perfect very comfortable for long games and great sounds quality This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
Top tier EvoVic | Verified Purchase Verified Purchase | Posted 3 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Great headphone  i would recommend. Gmaibg music..etc I would recommend this to a friend,5
"Goated JacobJ | Verified Purchase Verified Purchase | Posted 4 days ago . Owned for 1 month when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Best headset ive ever owned. Comfy and clear, never switching I would recommend this to a friend",5
"Don't buy RigoG | Verified Purchase Verified Purchase | Posted 4 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. I bought this headset new because I saw the reviews on the headset but to be honest is the worst headset I ever had. I been using Astro since I can remember but this headset gave me problems since day 1. The headset keeps losing connection and the sound quality sounds like it has too much static. I don't recommend this headset at all. No, I would not recommend this to a friend",1
